business_id,,business_id,name,address,city,state,postal_code,latitude,longitude,phone_number,Score,date,type
251,341,251,BEANERY INC.,602 IRVING ST ,San Francisco,CA,94122,37.764148,-122.464391,14155661090.0,88,20130315,routine
253,346,253,ANN'S DONUT COFFEE SHOP,4488 MISSION ST ,San Francisco,CA,94112,37.725949,-122.433906,14155331761.0,98,20130501,routine
256,351,256,MARCHE CLUB OF S.F.,4346 MISSION ST ,San Francisco,CA,94112,37.727983,-122.432101,,98,20130319,routine
257,354,257,JOE'S CABLE CAR RESTAURANT,4320 MISSION ST ,San Francisco,CA,94112,37.728343,-122.431722,14155336699.0,96,20130114,routine
258,359,258,VIKINGS GIANT SUBMARINE,1300 OCEAN AVE ,San Francisco,CA,94112,37.72404,-122.456539,14155334344.0,94,20130405,routine
260,364,260,MONTEREY PIZZA,599 MONTEREY BLVD ,San Francisco,CA,94127,37.731523,-122.448711,14155585858.0,90,20121211,routine
264,370,264,MELT!,700 COLUMBUS AVE ,San Francisco,CA,94133,37.801203,-122.411412,,90,20121205,routine
267,374,267,ASA SUSHI,2365 CHESTNUT ST ,San Francisco,CA,94123,37.800023,-122.442266,,83,20120731,routine
268,379,268,LOS HERMANOS,2026 CHESTNUT ST ,San Francisco,CA,94123,37.800767,-122.436924,,89,20121203,routine
272,384,272,ON THE BRIDGE,1581 WEBSTER ST #206,San Francisco,CA,94115,37.785227,-122.431472,14155927765.0,88,20121029,routine
273,390,273,HAI SUN RESTAURANT,3137 LAGUNA ST ,San Francisco,CA,94123,37.800133,-122.431064,,84,20121213,routine
274,395,274,PESCE,2227 POLK ST ,San Francisco,CA,94109,37.797294,-122.422075,,88,20130130,routine
275,399,275,BEN & JERRY'S,170 O'FARRELL ST BASEMENT,San Francisco,CA,94102,37.786548,-122.407313,,87,20130424,routine
276,405,276,CORSAGNA,1668 UNION ST ,San Francisco,CA,94123,37.79826,-122.426748,14155770527.0,100,20120808,routine
279,410,279,INGA DONUTS,1026 HYDE ST ,San Francisco,CA,94109,37.790347,-122.417227,,100,20121126,routine
281,415,281,PARMA RESTAURANT,3314 STEINER ST ,San Francisco,CA,94123,37.799807,-122.437649,14155560500.0,96,20121017,routine
283,420,283,HAI KY MI GIA,707 ELLIS ST ,San Francisco,CA,94109,37.784193,-122.417967,,98,20120924,routine
285,425,285,VAN NESS KENO ICE CREAM,26 VAN NESS,San Francisco,CA,94102,37.775867,-122.419356,14155436868.0,100,20121207,routine
286,430,286,PUNJAB KABAB HOUSE,101 EDDY ST ,San Francisco,CA,94102,37.784303,-122.409647,,60,20130211,routine
290,434,290,BISTRO AIX,3340 STEINER ST ,San Francisco,CA,94123,37.800187,-122.437756,14155200100.0,85,20121009,routine
298,439,298,BAMBOO RESTAURANT,1441 POLK ST ,San Francisco,CA,94109,37.790134,-122.420634,,94,20120914,routine
299,444,299,YUKOL PLACE THAI CUISINE,2380 LOMBARD ST ,San Francisco,CA,94123,37.799287,-122.440624,,75,20121217,routine
300,450,300,SUBWAY,2001 VAN NESS AVE ,San Francisco,CA,94109,37.794134,-122.423234,14155779929.0,90,20130214,routine
302,455,302,MOULIN ROUGE,887 GEARY ST ,San Francisco,CA,94109,37.786084,-122.417889,,94,20121210,routine
305,461,305,PACIFIC CATCH,2027 CHESTNUT ST ,San Francisco,CA,94123,37.800763,-122.436536,14155441950.0,96,20121203,routine
315,467,315,THE POSH BAGEL,495A CASTRO ST,San Francisco,CA,94114,37.760954,-122.434935,,92,20121207,routine
318,472,318,FIRST CUP,2911 VAN NESS AVE ,San Francisco,CA,94109,37.802454,-122.424854,,90,20121019,routine
319,477,319,UNION STREET COFFEE ROASTERY,2191 UNION ST ,San Francisco,CA,94123,37.797104,-122.435207,14155929559.0,92,20120801,routine
320,481,320,NAPOLI PIZZA RESTAURANT,1045 POLK ST ,San Francisco,CA,94109,37.786545,-122.419894,14155882222.0,82,20120925,routine
323,486,323,WAYO,1407 VAN NESS AVE ,San Francisco,CA,94109,37.788609,-122.42213,14155478369.0,98,20121001,routine
325,491,325,MIFUNE RESTAURANT,1737 POST ST ,San Francisco,CA,94115,37.785457,-122.430317,14155920337.0,83,20121017,routine
326,496,326,TEN ICHI RESTAURANT,2235 FILLMORE ST ,San Francisco,CA,94115,37.790333,-122.434144,,92,20130103,routine
328,501,328,MIYAKO,1470 FILLMORE ST,San Francisco,CA,94115,37.783017,-122.432584,,90,20130422,routine
332,508,332,NANI'S COFFEE,2739 GEARY BLVD ,San Francisco,CA,94118,37.782173,-122.448527,,100,20130222,routine
335,514,335,POLKERS,2226 POLK ST ,San Francisco,CA,94109,37.797296,-122.421967,,80,20121009,routine
337,519,337,GORDO TAQUERIA #2,1239 . AVE ,San Francisco,CA,94122,37.758941,-122.48591,,86,20121116,routine
379,523,379,GIANT SCOOP,2708 SAN BRUNO AVE ,San Francisco,CA,94134,37.727468,-122.403582,14155465051.0,91,20130329,routine
380,528,380,COFFEE CHOICE,300 03RD ST ,San Francisco,CA,94107,37.783517,-122.398668,,100,20121221,routine
383,533,383,KING LING,683 GEARY ST,San Francisco,CA,94102,37.786543,-122.414536,,94,20130110,routine
384,538,384,RINCONSITO SALVADORENO,3829 MISSION ST ,San Francisco,CA,94110,37.73571,-122.424528,,94,20121210,routine
385,543,385,REINA RESTAURANT,5479 MISSION ST ,San Francisco,CA,94112,37.712927,-122.444358,,100,20130415,routine
386,549,386,ADELITA'S CAKES,3780 MISSION ST ,San Francisco,CA,94110,37.736304,-122.424432,,94,20121211,routine
389,553,389,CAFE ELENA,1 MARKET ST ,San Francisco,CA,94105,37.794347,-122.394932,,100,20130228,routine
393,558,393,SUPER STAR RESTAURANT,4919 MISSION ST B,San Francisco,CA,94112,37.719692,-122.438575,,96,20130429,routine
394,563,394,SF MARRIOTT HOTEL PANTRY 5/F,55 04TH ST ,San Francisco,CA,94103,37.784964,-122.404752,,100,20130509,routine
395,567,395,SF MARRIOTT HOTEL PANTRY 4/F,55 04TH ST ,San Francisco,CA,94103,37.784964,-122.404752,,100,20130509,routine
397,571,397,SF MARRIOTT VIEW LOUNGE PANTRY,55 04TH ST ,San Francisco,CA,94103,37.784964,-122.404752,,100,20120921,routine
398,576,398,HENRY'S CAFETERIA,92 02ND ST ,San Francisco,CA,94105,37.788117,-122.399979,,100,20120907,routine
400,580,400,COW HOLLOW CATERING,3301 LYON ST ,San Francisco,CA,94123,37.801401,-122.447857,,98,20120524,routine
401,583,401,STARBUCKS COFFEE,1 MARKET ST ,San Francisco,CA,94105,37.794347,-122.394932,,100,20130228,routine
403,587,403,HAAGEN-DAZS #561,865 MARKET ST ,San Francisco,CA,94103,37.784317,-122.407563,14155891550.0,92,20121120,routine
404,592,404,ELEVATION SALON & CAFE,451 BUSH ST ,San Francisco,CA,94108,37.790584,-122.404974,,96,20130109,routine
409,597,409,EL FARO,82 01ST ST ,San Francisco,CA,94105,37.788613,-122.393894,,100,20120514,routine
413,600,413,HOUSE OF HUNAN,2 TOWNSEND ST ,San Francisco,CA,94107,37.757923,-122.393914,,76,20120904,routine
415,603,415,CAFE MADELEINE,43 O'FARRELL ST,San Francisco,CA,94108,37.786698,-122.405473,,87,20130110,routine
420,608,420,BUSTER'S,366 COLUMBUS AVE ,San Francisco,CA,94133,37.798444,-122.407444,,88,20121105,routine
421,611,421,CAFFE ROMA COFFEE ROASTING CO,526 COLUMBUS AVE ,San Francisco,CA,94133,37.799845,-122.409434,,94,20130510,routine
422,617,422,MICHELANGELO CAFFE,579 COLUMBUS AVE ,San Francisco,CA,94133,37.800166,-122.410006,,83,20130128,routine
423,621,423,ORALE TAQUERIA,113 SACRAMENTO ST ,San Francisco,CA,94111,37.794501,-122.39716,,98,20120201,routine
424,624,424,CHATZ,301 ARKANSAS ST ,San Francisco,CA,94107,37.762334,-122.398416,,100,20121119,routine
425,628,425,MOCCA,175 MAIDEN LN ,San Francisco,CA,94108,37.788011,-122.406252,,87,20121026,routine
428,633,428,CAFFE AMBROSIA,14 TRINITY PL ,San Francisco,CA,94104,37.790109,-122.402597,,100,20130314,routine
429,639,429,CALZONE'S,430 COLUMBUS AVE ,San Francisco,CA,94133,37.798965,-122.408204,,96,20121115,routine
430,643,430,ROSE PISTOLA,532 COLUMBUS AVE ,San Francisco,CA,94133,37.799915,-122.409544,,98,20121114,routine
431,647,431,BOHEMIAN CIGAR STORE,566 COLUMBUS AVE ,San Francisco,CA,94133,37.800135,-122.409854,,90,20121114,routine
435,652,435,VIENI-VIENI,1431 STOCKTON ST ,San Francisco,CA,94133,37.798914,-122.408885,,94,20130415,routine
436,657,436,NORTH BEACH RESTAURANT,1512 STOCKTON ST ,San Francisco,CA,94133,37.799646,-122.408939,,80,20120830,routine
438,661,438,HAWAII WEST,729 VALLEJO ST ,San Francisco,CA,94133,37.798494,-122.409337,,85,20120320,routine
442,664,442,MY CANH RESTAURANT,626 78 ST ,San Francisco,CA,94133,37.797828,-122.407474,,86,20120927,routine
443,670,443,THE STINKING ROSE,325 COLUMBUS AVE ,San Francisco,CA,94133,37.798306,-122.407327,,85,20120717,routine
444,675,444,VESUVIO CAFE,255 COLUMBUS AVE ,San Francisco,CA,94133,37.797468,-122.406147,,90,20130108,routine
447,680,447,L'OSTERIA DEL FORNO,519 COLUMBUS AVE ,San Francisco,CA,94133,37.799837,-122.409517,,72,20130103,routine
448,685,448,YUET LEE RESTAURANT,1300 STOCKTON ST ,San Francisco,CA,94133,37.797817,-122.408597,,88,20130313,routine
457,691,457,CHILI-UP!,50 POST ST ,San Francisco,CA,94104,37.789064,-122.402861,,98,20130213,routine
462,696,462,GARDEN OF EDEN,529 BROADWAY ST ,San Francisco,CA,94133,37.797933,-122.406018,,100,20121024,routine
463,700,463,SAM'S PIZZA,618 BROADWAY ST ,San Francisco,CA,94133,37.797828,-122.407444,,94,20130329,routine
467,705,467,YOKOHAMA JAPANESE RESTAURANT,229 COLUMBUS AVE ,San Francisco,CA,94133,37.797416,-122.406006,,88,20121002,routine
468,709,468,TAQUERIA ZORRO,308 COLUMBUS AVE ,San Francisco,CA,94133,37.798065,-122.406855,,85,20121114,routine
469,713,469,VIVA PIZZA RESTAURANT,318 COLUMBUS AVE ,San Francisco,CA,94133,37.798065,-122.406855,,64,20121218,routine
470,717,470,FRANCHINO,347 COLUMBUS AVE ,San Francisco,CA,94133,37.798427,-122.407507,,89,20130416,routine
472,722,472,MONA LISA RESTAURANT,353 COLUMBUS AVE ,San Francisco,CA,94133,37.798526,-122.407657,,90,20130314,routine
473,727,473,CAFFE GRECO,423 COLUMBUS AVE ,San Francisco,CA,94133,37.79886,-122.408204,,70,20121106,routine
475,732,475,MARA'S,503 COLUMBUS AVE ,San Francisco,CA,94133,37.799501,-122.409084,,83,20130208,routine
477,737,477,IL POLLAIO,555 COLUMBUS AVE ,San Francisco,CA,94133,37.800036,-122.409817,,90,20130226,routine
479,742,479,RISTORANTE IDEALE,1309 GRANT AVE ,San Francisco,CA,94133,37.799003,-122.407274,,98,20130122,routine
480,746,480,MO'S GRILL,1322 GRANT AVE ,San Francisco,CA,94133,37.799058,-122.407217,,88,20130314,routine
482,751,482,SAVOY TIVOLI,1436 GRANT AVE ,San Francisco,CA,94133,37.800061,-122.407398,,76,20120126,routine
483,753,483,MAY KADEH RESTAURANT,470 GREEN ST ,San Francisco,CA,94133,37.799758,-122.407113,,98,20130328,routine
484,757,484,COLUMBUS CAFE,562 GREEN ST ,San Francisco,CA,94133,37.799598,-122.408394,,89,20130122,routine
485,761,485,"SILVERHAT BAR, INC",678 GREEN ST ,San Francisco,CA,94133,37.799388,-122.410223,,92,20130415,routine
486,766,486,TOMMASO,1042 KEARNY ST ,San Francisco,CA,94133,37.797398,-122.405322,,98,20130328,routine
488,771,488,THE HOUSE,1230 GRANT AVE ,San Francisco,CA,94133,37.798519,-122.407071,,98,20121019,routine
489,776,489,DOL-HO RESTAURANT,808 PACIFIC AVE ,San Francisco,CA,94133,37.796718,-122.408714,,64,20120719,routine
493,780,493,CAFÉ DIVINE,1600 STOCKTON ST ,San Francisco,CA,94133,37.800627,-122.409177,14155983414.0,74,20121128,routine
494,783,494,SAN FRANCISCO ATHLETIC CLUB,1630 STOCKTON ST ,San Francisco,CA,94133,37.800897,-122.409189,,89,20130109,routine
495,786,495,CINECITTA,663 UNION ST ,San Francisco,CA,94133,37.800254,-122.410447,,78,20130117,routine
496,791,496,CAFFE TRIESTE,601 VALLEJO ST ,San Francisco,CA,94133,37.798744,-122.407408,,88,20121101,routine
499,794,499,SUTTER STREET CAFE,450 SUTTER ST ,San Francisco,CA,94108,37.789348,-122.407783,,90,20120831,routine
500,797,500,ROXANNE CAFE,570 POWELL ST,San Francisco,CA,94108,37.790003,-122.408688,,72,20130110,routine
